0, daa 0, flags 246
fd, daa 63, flags 217
fe, daa 64, flags 213
ff, daa 65, flags 217
0, daa 6, flags 216
1, daa 7, flags 212
2, daa 8, flags 212
3, daa 9, flags 216
4, daa a, flags 216
5, daa b, flags 212
6, daa c, flags 216
7, daa d, flags 212
8, daa e, flags 212
9, daa f, flags 216
a, daa 10, flags 212
b, daa 11, flags 216
c, daa 12, flags 216
d, daa 13, flags 212
e, daa 14, flags 216
f, daa 15, flags 212
10, daa 16, flags 212
11, daa 17, flags 216
12, daa 18, flags 216
13, daa 19, flags 212
14, daa 1a, flags 212
15, daa 1b, flags 216
16, daa 1c, flags 212
17, daa 1d, flags 216
18, daa 1e, flags 216
19, daa 1f, flags 212
1a, daa 20, flags 212
1b, daa 21, flags 216
1c, daa 22, flags 216
1d, daa 23, flags 212
1e, daa 24, flags 216
1f, daa 25, flags 212
20, daa 26, flags 212
21, daa 27, flags 216
22, daa 28, flags 216
23, daa 29, flags 212
24, daa 2a, flags 212
25, daa 2b, flags 216
26, daa 2c, flags 212
27, daa 2d, flags 216
28, daa 2e, flags 216
29, daa 2f, flags 212
2a, daa 30, flags 216
2b, daa 31, flags 212
2c, daa 32, flags 212
2d, daa 33, flags 216
2e, daa 34, flags 212
2f, daa 35, flags 216
30, daa 36, flags 216
31, daa 37, flags 212
32, daa 38, flags 212
33, daa 39, flags 216
34, daa 3a, flags 216
35, daa 3b, flags 212
36, daa 3c, flags 216
37, daa 3d, flags 212
38, daa 3e, flags 212
39, daa 3f, flags 216
3a, daa 40, flags 212
3b, daa 41, flags 216
3c, daa 42, flags 216
3d, daa 43, flags 212
3e, daa 44, flags 216
3f, daa 45, flags 212
40, daa 46, flags 212
41, daa 47, flags 216
42, daa 48, flags 216
43, daa 49, flags 212
44, daa 4a, flags 212
45, daa 4b, flags 216
46, daa 4c, flags 212
47, daa 4d, flags 216
48, daa 4e, flags 216
49, daa 4f, flags 212
4a, daa 50, flags 216
4b, daa 51, flags 212
4c, daa 52, flags 212
4d, daa 53, flags 216
4e, daa 54, flags 212
4f, daa 55, flags 216
50, daa 56, flags 216
51, daa 57, flags 212
52, daa 58, flags 212
53, daa 59, flags 216
54, daa 5a, flags 216
55, daa 5b, flags 212
56, daa 5c, flags 216
57, daa 5d, flags 212
58, daa 5e, flags 212
59, daa 5f, flags 216
5a, daa 60, flags 216
5b, daa 61, flags 212
5c, daa 62, flags 212
5d, daa 63, flags 216
5e, daa 64, flags 212
5f, daa 65, flags 216
60, daa 66, flags 216
61, daa 67, flags 212
62, daa 68, flags 212
63, daa 69, flags 216
64, daa 6a, flags 216
65, daa 6b, flags 212
66, daa 6c, flags 216
67, daa 6d, flags 212
68, daa 6e, flags 212
69, daa 6f, flags 216
6a, daa 70, flags 212
6b, daa 71, flags 216
6c, daa 72, flags 216
6d, daa 73, flags 212
6e, daa 74, flags 216
6f, daa 75, flags 212
70, daa 76, flags 212
71, daa 77, flags 216
72, daa 78, flags 216
73, daa 79, flags 212
74, daa 7a, flags 212
75, daa 7b, flags 216
76, daa 7c, flags 212
77, daa 7d, flags 216
78, daa 7e, flags 216
79, daa 7f, flags 212
7a, daa 80, flags 292
7b, daa 81, flags 296
7c, daa 82, flags 296
7d, daa 83, flags 292
7e, daa 84, flags 296
7f, daa 85, flags 292
80, daa 86, flags 292
81, daa 87, flags 296
82, daa 88, flags 296
83, daa 89, flags 292
84, daa 8a, flags 292
85, daa 8b, flags 296
86, daa 8c, flags 292
87, daa 8d, flags 296
88, daa 8e, flags 296
89, daa 8f, flags 292
8a, daa 90, flags 296
8b, daa 91, flags 292
8c, daa 92, flags 292
8d, daa 93, flags 296
8e, daa 94, flags 292
8f, daa 95, flags 296
90, daa 96, flags 296
91, daa 97, flags 292
92, daa 98, flags 292
93, daa 99, flags 296
94, daa 9a, flags 296
95, daa 9b, flags 292
96, daa 9c, flags 296
97, daa 9d, flags 292
98, daa 9e, flags 292
99, daa 9f, flags 296
9a, daa 0, flags 257
9b, daa 1, flags 213
9c, daa 2, flags 213
9d, daa 3, flags 217
9e, daa 4, flags 213
9f, daa 5, flags 217
a0, daa 6, flags 217
a1, daa 7, flags 213
a2, daa 8, flags 213
a3, daa 9, flags 217
a4, daa a, flags 217
a5, daa b, flags 213
a6, daa c, flags 217
a7, daa d, flags 213
a8, daa e, flags 213
a9, daa f, flags 217
aa, daa 10, flags 213
ab, daa 11, flags 217
ac, daa 12, flags 217
ad, daa 13, flags 213
ae, daa 14, flags 217
af, daa 15, flags 213
b0, daa 16, flags 213
b1, daa 17, flags 217
b2, daa 18, flags 217
b3, daa 19, flags 213
b4, daa 1a, flags 213
b5, daa 1b, flags 217
b6, daa 1c, flags 213
b7, daa 1d, flags 217
b8, daa 1e, flags 217
b9, daa 1f, flags 213
ba, daa 20, flags 213
bb, daa 21, flags 217
bc, daa 22, flags 217
bd, daa 23, flags 213
be, daa 24, flags 217
bf, daa 25, flags 213
c0, daa 26, flags 213
c1, daa 27, flags 217
c2, daa 28, flags 217
c3, daa 29, flags 213
c4, daa 2a, flags 213
c5, daa 2b, flags 217
c6, daa 2c, flags 213
c7, daa 2d, flags 217
c8, daa 2e, flags 217
c9, daa 2f, flags 213
ca, daa 30, flags 217
cb, daa 31, flags 213
cc, daa 32, flags 213
cd, daa 33, flags 217
ce, daa 34, flags 213
cf, daa 35, flags 217
d0, daa 36, flags 217
d1, daa 37, flags 213
d2, daa 38, flags 213
d3, daa 39, flags 217
d4, daa 3a, flags 217
d5, daa 3b, flags 213
d6, daa 3c, flags 217
d7, daa 3d, flags 213
d8, daa 3e, flags 213
d9, daa 3f, flags 217
da, daa 40, flags 213
db, daa 41, flags 217
dc, daa 42, flags 217
dd, daa 43, flags 213
de, daa 44, flags 217
df, daa 45, flags 213
